Epoch,Total,Imputation,Forecast,Lambda1,Lambda2
1,0.02305,0.02191,0.0242,0.5,0.5
2,0.01834,0.01949,0.01719,0.5,0.5
3,0.01372,0.01507,0.01237,0.506706953048706,0.49329304695129395
4,0.01163,0.01244,0.0108,0.49402251839637756,0.5059775114059448
5,0.00991,0.01068,0.00916,0.5012530088424683,0.4987470209598541
6,0.00842,0.00971,0.00712,0.5166306495666504,0.483369380235672
7,0.00741,0.00865,0.00608,0.5045279264450073,0.4954720437526703
8,0.00698,0.00807,0.00587,0.49593719840049744,0.5040627121925354
9,0.00654,0.00736,0.00573,0.49202632904052734,0.5079736709594727
10,0.00637,0.00714,0.00561,0.4987618625164032,0.5012381076812744
11,0.0061,0.00668,0.00552,0.4939049780368805,0.5060951113700867
12,0.00591,0.00639,0.00545,0.4961988925933838,0.5038011074066162
13,0.00581,0.00624,0.00539,0.49848082661628723,0.5015191435813904
14,0.00553,0.00573,0.00534,0.491100013256073,0.508899986743927
15,0.00546,0.00564,0.00529,0.4991956055164337,0.5008044242858887
